time;speed;acc
29.37;0.04;0.04
29.43;0.05;0.05
29.48;0.05;0.05
29.54;0.06;0.05
29.59;0.07;0.04
29.64;0.07;0.03
29.70;0.07;0.01
29.76;0.07;-0.00
29.81;0.06;-0.02
29.87;0.06;-0.04
29.92;0.06;-0.05
29.98;0.05;-0.05
30.03;0.05;-0.05
30.09;0.04;-0.04
30.14;0.04;-0.03
30.20;0.04;-0.01
30.25;0.04;0.01
30.31;0.04;0.03
30.36;0.04;0.05
30.42;0.05;0.07
30.47;0.05;0.08
30.53;0.06;0.08
30.58;0.07;0.08
30.63;0.08;0.07
30.69;0.08;0.05
30.75;0.08;0.03
30.80;0.08;0.00
30.86;0.08;-0.02
30.91;0.08;-0.04
30.97;0.07;-0.05
31.02;0.06;-0.06
31.08;0.06;-0.07
31.13;0.05;-0.06
31.19;0.05;-0.05
31.24;0.05;-0.04
31.30;0.04;-0.02
31.35;0.04;0.00
31.41;0.04;0.02
31.46;0.05;0.04
31.52;0.05;0.05
31.57;0.06;0.05
31.62;0.07;0.05
31.68;0.07;0.03
31.74;0.08;0.01
31.79;0.08;-0.01
31.85;0.08;-0.03
31.90;0.07;-0.06
31.96;0.06;-0.07
32.01;0.05;-0.08
32.07;0.04;-0.08
32.12;0.03;-0.07
32.18;0.03;-0.06
32.23;0.03;-0.04
32.29;0.03;-0.02
32.34;0.03;-0.01
32.39;0.04;0.00
32.45;0.04;0.01
32.51;0.04;0.02
32.56;0.04;0.02
32.62;0.04;0.03
32.67;0.04;0.03
32.73;0.04;0.03
32.78;0.04;0.03
32.84;0.05;0.04
32.89;0.05;0.04
32.95;0.05;0.04
33.00;0.06;0.04
33.06;0.06;0.04
33.11;0.06;0.04
33.17;0.06;0.03
33.22;0.06;0.03
33.28;0.06;0.02
33.33;0.07;0.01
33.38;0.07;0.00
33.44;0.07;-0.01
33.50;0.07;-0.02
33.55;0.06;-0.02
33.61;0.06;-0.03
33.66;0.06;-0.03
33.72;0.06;-0.02
33.77;0.05;-0.01
33.83;0.05;0.01
33.88;0.05;0.04
33.94;0.05;0.08
33.99;0.05;0.12
34.05;0.06;0.15
34.10;0.07;0.19
34.16;0.09;0.22
34.21;0.11;0.23
34.27;0.13;0.24
34.32;0.15;0.23
34.38;0.17;0.20
34.43;0.18;0.17
34.49;0.19;0.14
34.54;0.19;0.11
34.60;0.19;0.09
34.65;0.18;0.08
34.71;0.17;0.09
34.76;0.17;0.11
34.82;0.18;0.14
34.87;0.19;0.17
34.93;0.21;0.19
34.98;0.23;0.20
35.04;0.26;0.20
35.09;0.27;0.19
35.14;0.29;0.16
35.20;0.29;0.12
35.26;0.29;0.07
35.31;0.29;0.02
35.37;0.28;-0.02
35.42;0.28;-0.06
35.48;0.27;-0.10
35.53;0.26;-0.13
35.59;0.26;-0.16
35.64;0.25;-0.19
35.70;0.24;-0.21
35.75;0.23;-0.24
35.81;0.21;-0.26
35.86;0.19;-0.28
35.92;0.17;-0.30
35.97;0.15;-0.30
36.03;0.13;-0.29
36.08;0.11;-0.28
36.13;0.09;-0.25
36.19;0.08;-0.21
36.25;0.07;-0.17
36.30;0.06;-0.13
36.36;0.06;-0.08
36.41;0.06;-0.04
36.47;0.06;-0.00
36.52;0.06;0.03
36.58;0.07;0.06
36.63;0.07;0.08
36.69;0.08;0.10
36.74;0.09;0.11
36.80;0.10;0.12
36.85;0.10;0.14
36.91;0.11;0.16
36.96;0.12;0.18
37.02;0.13;0.22
37.07;0.13;0.26
